Dataset,Best_Pipeline,silhouette_score,davies_bouldin_score,calinski_harabasz_score,adjusted_rand_score,Running_Time(s)
cluto-t7-10k.csv,"{'algorithm': 'dbscan', 'eps': 0.31, 'min_samples': 174}",0.2560999007038812,3.4442516723989924,1818.4716359873134,0.18116747443927914,21.44
segment.csv,"{'algorithm': 'ward', 'n_clusters': 2}",0.46871257745723777,0.7539120575249908,1038.421954894597,0.10232485809812612,4.09
twodiamonds.csv,"{'algorithm': 'dbscan', 'eps': 0.3580144202486343, 'min_samples': 22}",0.0653416495440284,2.028942123416565,1.518776425106749,1.2515800807400568e-05,3.17
fourty.csv,"{'algorithm': 'dbscan', 'eps': 0.3580144202486343, 'min_samples': 22}",,,,0.0,2.47
disk-6000n.csv,"{'algorithm': 'ward', 'n_clusters': 3}",0.33805363298075713,0.9475370887178158,4012.249238229542,-0.006017435496275489,6.84
wine.csv,"{'algorithm': 'ward', 'n_clusters': 3}",0.18673916963407522,1.3974395444511496,155.90506799344163,0.7899332213582837,2.38
balance-scale.csv,"{'algorithm': 'MBKMeans', 'n_clusters': 32}",0.1645394452138237,1.3446762532751466,88.4234439872939,0.03768692775767218,1.95
tae.csv,"{'algorithm': 'ward', 'n_clusters': 81}",0.5471830982187793,0.2802556371528455,361.1016646176684,0.014061555858822126,2.0
cassini.csv,"{'algorithm': 'dbscan', 'eps': 0.55, 'min_samples': 101}",0.24624995978138714,1.7754013495122103,341.26587583451055,0.3054877001370307,2.16
pathbased.csv,"{'algorithm': 'ward', 'n_clusters': 3}",0.5393407481003712,0.6676418691686122,356.42117997644516,0.45723965835734565,1.28
iono.csv,"{'algorithm': 'GMM', 'n_clusters': 51}",0.17773436324479736,1.0060784771621503,19.629239050738235,0.07970457791121313,5.63
flame.csv,"{'algorithm': 'MBKMeans', 'n_clusters': 12}",0.3472296908498755,0.837403856867195,252.15149845236738,0.1385628604778269,1.58
glass.csv,"{'algorithm': 'GMM', 'n_clusters': 51}",0.009095835078396366,1.0105620310060215,67.85352768801143,0.12507074984579927,3.01
sizes2.csv,"{'algorithm': 'dbscan', 'eps': 0.36, 'min_samples': 21}",0.539252791400283,1.9816218270889756,833.9453933602628,0.9267392349407819,2.23
iris.csv,"{'algorithm': 'GMM', 'n_clusters': 51}",0.1503484732849711,0.9048454664343192,182.29459923285853,0.0891994912874957,2.22
engytime.csv,"{'algorithm': 'KMeans', 'n_clusters': 64}",0.32357581812567815,0.8630964532428193,3077.7493782368106,0.032850003755611625,12.95
elliptical_10_2.csv,"{'algorithm': 'dbscan', 'eps': 0.9536790514390626, 'min_samples': 3}",,,,0.0,2.28
sonar.csv,"{'algorithm': 'GMM', 'n_clusters': 59}",0.13987194384426954,1.126233772557767,12.034779371627081,0.02705497314636855,3.71
jain.csv,"{'algorithm': 'ward', 'n_clusters': 2}",0.4783666328090065,0.8078629303066432,447.4107460614655,0.5691559292963253,1.34
sizes4.csv,"{'algorithm': 'dbscan', 'eps': 0.85, 'min_samples': 124}",0.550022564052163,0.9865042524966423,780.8856609300819,0.7522941554871365,1.3
3-spiral.csv,"{'algorithm': 'ward', 'n_clusters': 49}",0.453310894802178,0.5120107070184204,452.6895854902699,0.08491210243938137,1.29
compound.csv,"{'algorithm': 'dbscan', 'eps': 0.42000000000000004, 'min_samples': 62}",0.382427926425213,0.6652322967093642,208.01416685910561,0.2127144042649876,2.08
thy.csv,"{'algorithm': 'GMM', 'n_clusters': 175}",0.025012407711483158,0.3812108110752925,247.21096930328818,0.0036165438928625233,1.7
arrhythmia.csv,"{'algorithm': 'MBKMeans', 'n_clusters': 2}",0.46377767887718385,1.4602659774141165,22.58107616156779,0.033654821994479264,2.58
ecoli.csv,"{'algorithm': 'GMM', 'n_clusters': 51}",0.09152118793003632,1.20340198562919,54.27575411900016,0.15352119472271414,3.33
