runtime,config,dataset,similar dataset,cvi,algorithms,iteration,wallclock time,CVI score,Best CVI score,ARI,Best ARI
11.817049264907837,"{'algorithm': 'dbscan', 'eps': 0.46667650482095313, 'min_samples': 125}",type=moons-k=2-n=10000-d=2-noise=0.01,type=circles-k=2-n=10000-d=2-noise=0.01,DBCV,dbscan+birch+KMeans+MBKMeans+GMM+ward,1,11.817049264907837,-0.7534311489204606,-0.7534311489204606,-1.0,-1.0
3.8493356704711914,"{'algorithm': 'birch', 'n_clusters': 18}",type=moons-k=2-n=10000-d=2-noise=0.01,type=circles-k=2-n=10000-d=2-noise=0.01,DBCV,dbscan+birch+KMeans+MBKMeans+GMM+ward,2,15.666384935379028,0.6537167153485204,-0.7534311489204606,-0.2562763918350478,-1.0
2.356074810028076,"{'algorithm': 'KMeans', 'n_clusters': 18}",type=moons-k=2-n=10000-d=2-noise=0.01,type=circles-k=2-n=10000-d=2-noise=0.01,DBCV,dbscan+birch+KMeans+MBKMeans+GMM+ward,3,18.022459745407104,0.5506532865943677,-0.7534311489204606,-0.11431654622735031,-1.0
2.4400346279144287,"{'algorithm': 'KMeans', 'n_clusters': 17}",type=moons-k=2-n=10000-d=2-noise=0.01,type=circles-k=2-n=10000-d=2-noise=0.01,DBCV,dbscan+birch+KMeans+MBKMeans+GMM+ward,4,20.462494373321533,0.44547497900337657,-0.7534311489204606,-0.1232777415539171,-1.0
2.2017970085144043,"{'algorithm': 'KMeans', 'n_clusters': 20}",type=moons-k=2-n=10000-d=2-noise=0.01,type=circles-k=2-n=10000-d=2-noise=0.01,DBCV,dbscan+birch+KMeans+MBKMeans+GMM+ward,5,22.664291381835938,0.5225912518330493,-0.7534311489204606,-0.10165402111873836,-1.0
2.232145309448242,"{'algorithm': 'MBKMeans', 'n_clusters': 22}",type=moons-k=2-n=10000-d=2-noise=0.01,type=circles-k=2-n=10000-d=2-noise=0.01,DBCV,dbscan+birch+KMeans+MBKMeans+GMM+ward,6,24.89643669128418,0.5685313197732729,-0.7534311489204606,-0.09517068381891426,-1.0
2.3037688732147217,"{'algorithm': 'GMM', 'n_clusters': 44}",type=moons-k=2-n=10000-d=2-noise=0.01,type=circles-k=2-n=10000-d=2-noise=0.01,DBCV,dbscan+birch+KMeans+MBKMeans+GMM+ward,7,27.2002055644989,0.5204205853090236,-0.7534311489204606,-0.0482113100643563,-1.0
1.8158059120178223,"{'algorithm': 'KMeans', 'n_clusters': 61}",type=moons-k=2-n=10000-d=2-noise=0.01,type=circles-k=2-n=10000-d=2-noise=0.01,DBCV,dbscan+birch+KMeans+MBKMeans+GMM+ward,8,29.016011476516724,0.3976988445970585,-0.7534311489204606,-0.03339638674931723,-1.0
5.2229766845703125,"{'algorithm': 'ward', 'n_clusters': 66}",type=moons-k=2-n=10000-d=2-noise=0.01,type=circles-k=2-n=10000-d=2-noise=0.01,DBCV,dbscan+birch+KMeans+MBKMeans+GMM+ward,9,34.238988161087036,0.3631509643947477,-0.7534311489204606,-0.032097725679925346,-1.0
2.6091396808624268,"{'algorithm': 'GMM', 'n_clusters': 65}",type=moons-k=2-n=10000-d=2-noise=0.01,type=circles-k=2-n=10000-d=2-noise=0.01,DBCV,dbscan+birch+KMeans+MBKMeans+GMM+ward,10,36.84812784194946,0.38808211995139585,-0.7534311489204606,-0.03164151173187972,-1.0
1.9619836807250977,"{'algorithm': 'KMeans', 'n_clusters': 83}",type=moons-k=2-n=10000-d=2-noise=0.01,type=circles-k=2-n=10000-d=2-noise=0.01,DBCV,dbscan+birch+KMeans+MBKMeans+GMM+ward,11,38.81011152267456,0.36159571802528784,-0.7534311489204606,-0.02446339870236131,-1.0
2.2787363529205322,"{'algorithm': 'KMeans', 'n_clusters': 92}",type=moons-k=2-n=10000-d=2-noise=0.01,type=circles-k=2-n=10000-d=2-noise=0.01,DBCV,dbscan+birch+KMeans+MBKMeans+GMM+ward,12,41.08884787559509,0.3548409789596178,-0.7534311489204606,-0.02209986069036888,-1.0
9.128725528717041,"{'algorithm': 'ward', 'n_clusters': 5}",type=moons-k=2-n=10000-d=2-noise=0.01,type=circles-k=2-n=10000-d=2-noise=0.01,DBCV,dbscan+birch+KMeans+MBKMeans+GMM+ward,13,50.217573404312134,0.7137071485457838,-0.7534311489204606,-0.29438581123879687,-1.0
2.157592296600342,"{'algorithm': 'KMeans', 'n_clusters': 98}",type=moons-k=2-n=10000-d=2-noise=0.01,type=circles-k=2-n=10000-d=2-noise=0.01,DBCV,dbscan+birch+KMeans+MBKMeans+GMM+ward,14,52.375165700912476,0.3507545852538202,-0.7534311489204606,-0.020728815274428367,-1.0
11.902799844741821,"{'algorithm': 'dbscan', 'eps': 0.8200243753505229, 'min_samples': 120}",type=moons-k=2-n=10000-d=2-noise=0.01,type=circles-k=2-n=10000-d=2-noise=0.01,DBCV,dbscan+birch+KMeans+MBKMeans+GMM+ward,15,64.2779655456543,-0.7534311489204606,-0.7534311489204606,-1.0,-1.0
11.745301246643066,"{'algorithm': 'KMeans', 'n_clusters': 2}",type=moons-k=2-n=10000-d=2-noise=0.01,type=circles-k=2-n=10000-d=2-noise=0.01,DBCV,dbscan+birch+KMeans+MBKMeans+GMM+ward,16,76.02326679229736,0.9414134213656415,-0.7534311489204606,-0.4857575710770336,-1.0
