runtime,config,dataset,similar dataset,cvi,algorithms,iteration,wallclock time,CVI score,Best CVI score,ARI,Best ARI
0.2241816520690918,"{'algorithm': 'MBKMeans', 'n_clusters': 10}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,1,0.2241816520690918,-14521.577135657506,-14521.577135657506,-1.0,-1.0
1.6744115352630615,"{'algorithm': 'birch', 'n_clusters': 10}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,2,1.8985931873321533,-14521.577135657504,-14521.577135657506,-1.0,-1.0
0.30521106719970703,"{'algorithm': 'GMM', 'n_clusters': 10}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,3,2.2038042545318604,-14521.577135657506,-14521.577135657506,-1.0,-1.0
1.2403948307037354,"{'algorithm': 'ward', 'n_clusters': 10}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,4,3.4441990852355957,-14521.577135657504,-14521.577135657506,-1.0,-1.0
1.233342170715332,"{'algorithm': 'ward', 'n_clusters': 11}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,5,4.677541255950928,-13114.818034352478,-14521.577135657506,-0.9718776623631639,-1.0
1.6611518859863281,"{'algorithm': 'birch', 'n_clusters': 12}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,6,6.338693141937256,-11963.835731461459,-14521.577135657506,-0.9433224811144976,-1.0
1.236644983291626,"{'algorithm': 'ward', 'n_clusters': 9}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,7,7.575338125228882,-5041.896829105063,-14521.577135657506,-0.897793952280673,-1.0
0.07801222801208496,"{'algorithm': 'KMeans', 'n_clusters': 9}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,8,7.653350353240967,-4766.533115319295,-14521.577135657506,-0.897793952280673,-1.0
1.678652286529541,"{'algorithm': 'birch', 'n_clusters': 9}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,9,9.332002639770508,-5041.896829105063,-14521.577135657506,-0.897793952280673,-1.0
0.23590826988220215,"{'algorithm': 'MBKMeans', 'n_clusters': 17}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,10,9.56791090965271,-8429.65619658459,-14521.577135657506,-0.7742869888150723,-1.0
1.2349624633789062,"{'algorithm': 'ward', 'n_clusters': 8}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,11,10.802873373031616,-3066.6019443586592,-14521.577135657506,-0.8110447535530693,-1.0
0.23417997360229492,"{'algorithm': 'MBKMeans', 'n_clusters': 20}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,12,11.037053346633911,-7188.404711135345,-14521.577135657506,-0.6797722553723833,-1.0
0.2413468360900879,"{'algorithm': 'GMM', 'n_clusters': 7}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,13,11.278400182723999,-2038.8737447855515,-14521.577135657506,-0.6717339199527202,-1.0
3.051306962966919,"{'algorithm': 'GMM', 'n_clusters': 24}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,14,14.329707145690918,-5947.43814811956,-14521.577135657506,-0.6537192341688455,-1.0
3.156186580657959,"{'algorithm': 'GMM', 'n_clusters': 26}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,15,17.485893726348877,-5509.330300672403,-14521.577135657506,-0.5916562634927364,-1.0
1.6774756908416748,"{'algorithm': 'birch', 'n_clusters': 47}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,16,19.16336941719055,-3025.1449652496276,-14521.577135657506,-0.3643524108037326,-1.0
1.6833302974700928,"{'algorithm': 'birch', 'n_clusters': 58}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,17,20.846699714660645,-2464.4892965812737,-14521.577135657506,-0.31320604271365277,-1.0
1.6773440837860107,"{'algorithm': 'birch', 'n_clusters': 5}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,18,22.524043798446655,-1488.3402093615414,-14521.577135657506,-0.5647745080968135,-1.0
1.2584202289581299,"{'algorithm': 'ward', 'n_clusters': 53}",type=gaussian-k=10-n=5000-d=50-noise=0,type=varied-k=10-n=5000-d=50-noise=0,CH,MBKMeans+birch+GMM+ward+KMeans,19,23.782464027404785,-2690.187984439427,-14521.577135657506,-0.3289512684507929,-1.0
