,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,dataset
0,0.12805133829274293,0.037558029429976166,3.169908846129989,5.480197012992563e-06,type=gaussian-k=10-n=1000-d=10-noise=0
1,0.1401920463700962,0.030466488619194047,3.169909279377604,5.591273631680229e-06,type=gaussian-k=10-n=1000-d=30-noise=0
2,0.12860890460836752,0.03812683657364905,3.169909366027126,5.60733901777386e-06,type=gaussian-k=10-n=1000-d=50-noise=0
3,0.07000866487927686,0.014385772269887822,3.1699114456156767,6.711843185878147e-06,type=gaussian-k=30-n=1000-d=10-noise=0
4,0.07126920275096729,0.013862417904546747,3.169909279377604,5.591273631680229e-06,type=gaussian-k=30-n=1000-d=30-noise=0
5,0.06601454001133056,0.014961744683261757,3.1699078063357136,4.266545252634244e-06,type=gaussian-k=30-n=1000-d=50-noise=0
6,0.04451892076156301,0.009617500545413334,3.1699088461299887,5.480197012992564e-06,type=gaussian-k=50-n=1000-d=10-noise=0
7,0.04454325816478809,0.009219496515564574,3.169909279377604,5.591273631680229e-06,type=gaussian-k=50-n=1000-d=30-noise=0
8,0.044964372091309344,0.009002072497916578,3.169907806335713,4.266545252634245e-06,type=gaussian-k=50-n=1000-d=50-noise=0
9,0.09801472985557386,9.676672848896659e-06,3.1699127453585207,9.190569788357001e-06,type=circles-k=2-n=1000-d=2-noise=0.0
10,0.09517766430036839,1.2315155080264834e-05,3.1699127453585207,9.190569788357001e-06,type=circles-k=2-n=1000-d=2-noise=0.01
11,0.053193712556753266,7.780918953586095e-06,3.1699062466443007,0.0,type=circles-k=2-n=1000-d=2-noise=0.05
12,0.027881179241973735,6.270792351704835e-06,3.1699192440727413,0.0,type=circles-k=2-n=1000-d=2-noise=0.1
13,0.25582842972477443,5.6824978826317646e-06,3.1699127453585207,9.190569788357001e-06,type=moons-k=2-n=1000-d=2-noise=0.0
14,0.24979049619092158,0.00010527043700208132,3.1699062466443007,0.0,type=moons-k=2-n=1000-d=2-noise=0.01
15,0.17587662942833907,4.213888865755061e-05,3.1699062466443007,0.0,type=moons-k=2-n=1000-d=2-noise=0.05
16,0.13141160757455833,7.07356304675085e-06,3.1699062466443007,0.0,type=moons-k=2-n=1000-d=2-noise=0.1
17,0.1269231647974717,0.033136790909999804,3.169908846129989,5.480197012992563e-06,type=varied-k=10-n=1000-d=10-noise=0
18,0.13379382561364997,0.034843880989776296,3.1699097126252185,5.845937159583026e-06,type=varied-k=10-n=1000-d=30-noise=0
19,0.1378771676766478,0.034863004773330125,3.1699088461299887,5.2517541647754295e-06,type=varied-k=10-n=1000-d=50-noise=0
20,0.07339673205309276,0.015252873737133759,3.1699088461299887,5.480197012992564e-06,type=varied-k=30-n=1000-d=10-noise=0
21,0.06713591706172432,0.014251255579385707,3.169908846129989,5.287849119908972e-06,type=varied-k=30-n=1000-d=30-noise=0
22,0.0648732085782697,0.012481858510411909,3.1699098859242634,5.89507942924584e-06,type=varied-k=30-n=1000-d=50-noise=0
23,0.04635891823523601,0.010023528762005659,3.1699088461299887,5.480197012992564e-06,type=varied-k=50-n=1000-d=10-noise=0
24,0.048114157616620676,0.01002457607535655,3.169909279377604,5.591273631680229e-06,type=varied-k=50-n=1000-d=30-noise=0
25,0.046295880107678114,0.008147685410726996,3.1699085861814194,5.044145157226869e-06,type=varied-k=50-n=1000-d=50-noise=0
26,0.07887402031976996,0.02512298663383248,4.08746197638237,0.0,type=gaussian-k=10-n=5000-d=10-noise=0
27,0.0841111582609041,0.01844102245828757,4.08746197638237,0.0,type=gaussian-k=10-n=5000-d=30-noise=0
28,0.08739214771456194,0.02082808538693449,4.087461976382371,8.97195690676443e-16,type=gaussian-k=10-n=5000-d=50-noise=0
29,0.044818522756470476,0.006711734826249974,4.08746197638237,0.0,type=gaussian-k=30-n=5000-d=10-noise=0
30,0.043648969707604436,0.007241403948190991,4.08746197638237,0.0,type=gaussian-k=30-n=5000-d=30-noise=0
31,0.047414319157972055,0.006441835466541553,4.087461976382371,8.97195690676443e-16,type=gaussian-k=30-n=5000-d=50-noise=0
32,0.030476362948261677,0.005124325960684515,4.08746197638237,0.0,type=gaussian-k=50-n=5000-d=10-noise=0
33,0.030959017726821202,0.004834730235522315,4.08746197638237,0.0,type=gaussian-k=50-n=5000-d=30-noise=0
